census_tract,year,scenario,group,resp,rend,income_per_capita,income_class
354140605000089,2000,original,meioa1,17,2388,140.47058823529412,from 0.5 to 1 mw
354140605000089,2000,original,1a2sm,23,6092,264.8695652173913,from 1 to 2 mw
354140605000089,2000,original,2a3sm,39,15556,398.87179487179486,from 2 to 3 mw
354140605000089,2000,original,3a5sm,57,33652,590.3859649122807,from 3 to 5 mw
354140605000089,2000,original,5a10sm,68,75144,1105.0588235294117,from 5 to 10 mw
354140605000089,2000,original,10a15s,15,28180,1878.6666666666667,from 10 to 15 mw
354140605000089,2000,original,15a20s,8,21839,2729.875,from 10 to 20 mw
354140605000089,2000,original,aci20s,13,54880,4221.538461538462,above 20 mw
354140605000254,2000,original,meiosm,1,0,0,from 0 to 0.5 mw
354140605000254,2000,original,meioa1,14,2056,146.85714285714286,from 0.5 to 1 mw
354140605000254,2000,original,1a2sm,29,7595,261.8965517241379,from 1 to 2 mw
354140605000254,2000,original,2a3sm,51,19897,390.1372549019608,from 2 to 3 mw
354140605000254,2000,original,3a5sm,65,38150,586.9230769230769,from 3 to 5 mw
354140605000254,2000,original,5a10sm,57,60336,1058.5263157894738,from 5 to 10 mw
354140605000254,2000,original,10a15s,2,0,0,from 0 to 0.5 mw
354140605000090,2000,original,meioa1,1,0,0,from 0 to 0.5 mw
354140605000090,2000,original,1a2sm,1,0,0,from 0 to 0.5 mw
354140605000090,2000,original,2a3sm,1,0,0,from 0 to 0.5 mw
354140605000090,2000,original,3a5sm,1,0,0,from 0 to 0.5 mw
354140605000090,2000,original,5a10sm,21,27400,1304.7619047619048,from 5 to 10 mw
354140605000090,2000,original,10a15s,20,39465,1973.25,from 10 to 15 mw
354140605000090,2000,original,15a20s,21,59700,2842.8571428571427,from 10 to 20 mw
354140605000090,2000,original,aci20s,153,1193140,7798.300653594772,above 20 mw
354140605000087,2000,original,meioa1,5,703,140.6,from 0.5 to 1 mw
354140605000087,2000,original,1a2sm,8,2033,254.125,from 1 to 2 mw
354140605000087,2000,original,2a3sm,10,3775,377.5,from 2 to 3 mw
354140605000087,2000,original,3a5sm,24,14373,598.875,from 3 to 5 mw
354140605000087,2000,original,5a10sm,32,31407,981.46875,from 5 to 10 mw
354140605000087,2000,original,10a15s,12,23100,1925,from 10 to 15 mw
354140605000087,2000,original,15a20s,6,16151,2691.8333333333335,from 10 to 20 mw
354140605000087,2000,original,aci20s,8,34600,4325,above 20 mw
354140605000088,2000,original,meioa1,14,2040,145.71428571428572,from 0.5 to 1 mw
354140605000088,2000,original,1a2sm,25,6417,256.68,from 1 to 2 mw
354140605000088,2000,original,2a3sm,23,8908,387.30434782608694,from 2 to 3 mw
354140605000088,2000,original,3a5sm,37,20905,565,from 3 to 5 mw
354140605000088,2000,original,5a10sm,51,54239,1063.5098039215686,from 5 to 10 mw
354140605000088,2000,original,10a15s,17,31900,1876.4705882352941,from 10 to 15 mw
354140605000088,2000,original,15a20s,14,39295,2806.785714285714,from 10 to 20 mw
354140605000088,2000,original,aci20s,6,28700,4783.333333333333,above 20 mw
354140605000096,2000,original,meioa1,19,2865,150.78947368421052,from 0.5 to 1 mw
354140605000096,2000,original,1a2sm,29,7000,241.3793103448276,from 1 to 2 mw
354140605000096,2000,original,2a3sm,36,13929,386.9166666666667,from 2 to 3 mw
354140605000096,2000,original,3a5sm,37,21647,585.0540540540541,from 3 to 5 mw
354140605000096,2000,original,5a10sm,33,36900,1118.1818181818182,from 5 to 10 mw
354140605000096,2000,original,10a15s,2,0,0,from 0 to 0.5 mw
354140605000096,2000,original,15a20s,4,0,0,from 0 to 0.5 mw
354140605000094,2000,original,meioa1,7,1001,143,from 0.5 to 1 mw
354140605000094,2000,original,1a2sm,6,1457,242.83333333333334,from 1 to 2 mw
354140605000094,2000,original,2a3sm,11,4408,400.72727272727275,from 2 to 3 mw
354140605000094,2000,original,3a5sm,15,8481,565.4,from 3 to 5 mw
354140605000094,2000,original,5a10sm,19,21939,1154.6842105263158,from 5 to 10 mw
354140605000094,2000,original,10a15s,14,26554,1896.7142857142858,from 10 to 15 mw
354140605000094,2000,original,15a20s,26,73698,2834.5384615384614,from 10 to 20 mw
354140605000094,2000,original,aci20s,96,1302331,13565.947916666666,above 20 mw
354140605000086,2000,original,meioa1,14,2056,146.85714285714286,from 0.5 to 1 mw
354140605000086,2000,original,1a2sm,24,6401,266.7083333333333,from 1 to 2 mw
354140605000086,2000,original,2a3sm,13,4835,371.9230769230769,from 2 to 3 mw
354140605000086,2000,original,3a5sm,19,10548,555.1578947368421,from 3 to 5 mw
354140605000086,2000,original,5a10sm,18,18380,1021.1111111111111,from 5 to 10 mw
354140605000086,2000,original,10a15s,6,11101,1850.1666666666667,from 10 to 15 mw
354140605000086,2000,original,15a20s,2,0,0,from 0 to 0.5 mw
354140605000086,2000,original,aci20s,10,0,0,from 0 to 0.5 mw
354140605000136,2000,original,meioa1,6,903,150.5,from 0.5 to 1 mw
354140605000136,2000,original,1a2sm,11,2462,223.8181818181818,from 1 to 2 mw
354140605000136,2000,original,2a3sm,26,10307,396.4230769230769,from 2 to 3 mw
354140605000136,2000,original,3a5sm,52,31921,613.8653846153846,from 3 to 5 mw
354140605000136,2000,original,5a10sm,65,71960,1107.076923076923,from 5 to 10 mw
354140605000136,2000,original,10a15s,29,53454,1843.2413793103449,from 10 to 15 mw
354140605000136,2000,original,15a20s,9,24717,2746.3333333333335,from 10 to 20 mw
354140605000136,2000,original,aci20s,15,81262,5417.466666666666,above 20 mw
354140605000110,2000,original,meiosm,4,255,63.75,from 0 to 0.5 mw
354140605000110,2000,original,meioa1,34,4880,143.52941176470588,from 0.5 to 1 mw
354140605000110,2000,original,1a2sm,67,17363,259.14925373134326,from 1 to 2 mw
354140605000110,2000,original,2a3sm,87,33931,390.01149425287355,from 2 to 3 mw
354140605000110,2000,original,3a5sm,92,53017,576.2717391304348,from 3 to 5 mw
354140605000110,2000,original,5a10sm,89,91367,1026.5955056179776,from 5 to 10 mw
354140605000110,2000,original,10a15s,15,27240,1816,from 10 to 15 mw
354140605000110,2000,original,15a20s,4,10300,2575,from 10 to 20 mw
354140605000110,2000,original,aci20s,10,42000,4200,above 20 mw
354140605000104,2000,original,meioa1,11,1621,147.36363636363637,from 0.5 to 1 mw
354140605000104,2000,original,1a2sm,26,6817,262.1923076923077,from 1 to 2 mw
354140605000104,2000,original,2a3sm,63,24413,387.5079365079365,from 2 to 3 mw
354140605000104,2000,original,3a5sm,97,56895,586.5463917525773,from 3 to 5 mw
354140605000104,2000,original,5a10sm,97,103786,1069.958762886598,from 5 to 10 mw
354140605000104,2000,original,10a15s,11,19229,1748.090909090909,from 10 to 15 mw
354140605000104,2000,original,15a20s,3,0,0,from 0 to 0.5 mw
354140605000104,2000,original,aci20s,1,0,0,from 0 to 0.5 mw
354140605000103,2000,original,meioa1,7,0,0,from 0 to 0.5 mw
354140605000103,2000,original,1a2sm,16,4061,253.8125,from 1 to 2 mw
354140605000103,2000,original,2a3sm,31,11999,387.06451612903226,from 2 to 3 mw
354140605000103,2000,original,3a5sm,49,29566,603.3877551020408,from 3 to 5 mw
354140605000103,2000,original,5a10sm,47,49125,1045.212765957447,from 5 to 10 mw
354140605000103,2000,original,10a15s,10,18750,1875,from 10 to 15 mw
354140605000103,2000,original,15a20s,1,0,0,from 0 to 0.5 mw
354140605000105,2000,original,meiosm,1,0,0,from 0 to 0.5 mw
354140605000105,2000,original,meioa1,29,4247,146.44827586206895,from 0.5 to 1 mw
354140605000105,2000,original,1a2sm,58,14478,249.6206896551724,from 1 to 2 mw
354140605000105,2000,original,2a3sm,73,27979,383.2739726027397,from 2 to 3 mw
354140605000105,2000,original,3a5sm,92,53373,580.1413043478261,from 3 to 5 mw
354140605000105,2000,original,5a10sm,48,50685,1055.9375,from 5 to 10 mw
354140605000105,2000,original,10a15s,7,12521,1788.7142857142858,from 10 to 15 mw
354140605000105,2000,original,15a20s,1,0,0,from 0 to 0.5 mw
354140605000105,2000,original,aci20s,1,0,0,from 0 to 0.5 mw
354140605000157,2000,original,meioa1,6,894,149,from 0.5 to 1 mw
354140605000157,2000,original,1a2sm,10,2760,276,from 1 to 2 mw
354140605000157,2000,original,2a3sm,14,5350,382.14285714285717,from 2 to 3 mw
354140605000157,2000,original,3a5sm,19,11683,614.8947368421053,from 3 to 5 mw
